division,subtype,report_year,count_cleared,count_,clearance_rate,unsolved_crime
D11,Other,2014,9,22,0,13
D11,Theft Over $5000,2014,1,1,1,0
D11,Other,2014,1,1,1,0
D11,Robbery-Financial,2014,1,1,1,0
D11,Break & Enter-House,2014,13,23,0,10
D11,Theft Over $5000,2014,1,1,1,0
D11,Break & Enter-House,2014,6,13,0,7
D11,Theft Over $5000,2014,1,2,0,1
D11,Break & Enter-House,2014,2,7,0,5
D11,Theft Over $5000,2014,0,1,0,1
D11,Robbery-Financial,2014,1,1,1,0
D11,Break & Enter-House,2014,2,8,0,6
D12,Break & Enter-Other,2014,3,4,0,1
D11,Other,2014,12,14,0,2
D12,Auto Theft,2014,6,39,0,33
D11,Theft Over $5000,2014,0,2,0,2
D11,Robbery-Financial,2014,1,1,1,0
D11,Break & Enter-House,2014,0,5,0,5
D12,Fraud,2014,5,21,0,16
D11,Theft Over $5000,2014,1,4,0,3
D12,Auto Theft,2014,2,9,0,7
D11,Other,2014,20,20,1,0
D11,Robbery-Financial,2014,1,1,1,0
D11,Break & Enter-House,2014,2,7,0,5
D12,Fraud,2014,19,42,0,23
D11,Theft Under $5000,2014,1,1,1,0
D12,Auto Theft,2014,3,20,0,17
D11,Other,2014,19,20,0,1
D11,Robbery-Financial,2014,1,1,1,0
D11,Break & Enter-House,2014,5,13,0,8
D12,Fraud,2014,3,6,0,3
D11,Theft Under $5000,2014,256,372,0,116
D12,Auto Theft,2014,1,7,0,6
D11,Other,2014,11,11,1,0
D11,Robbery-Financial,2014,1,1,1,0
D11,Break & Enter-House,2014,3,6,0,3
D11,Theft Under $5000,2014,25,147,0,122
D12,Auto Theft,2014,4,27,0,23
D12,Assault,2014,43,67,0,24
D12,Fraud,2014,6,27,0,21
D11,Other,2014,1,1,1,0
D11,Other,2014,55,56,0,1
D11,Break & Enter-Other,2014,1,3,0,2
D11,Robbery-Financial,2014,1,1,1,0
D11,Theft Under $5000,2014,44,166,0,122
D12,Auto Theft,2014,5,19,0,14
D12,Assault,2014,15,17,0,2
D12,Fraud,2014,5,17,0,12
D11,Other,2014,9,9,1,0
D11,Other,2014,34,37,0,3
D11,Break & Enter-Other,2014,1,4,0,3
D11,Robbery-Other,2014,4,10,0,6
D12,Assault,2014,71,84,0,13
D11,Theft Under $5000,2014,115,252,0,137
D12,Auto Theft,2014,12,47,0,35
D12,Fraud,2014,2,15,0,13
D11,Robbery-Other,2014,6,14,0,8
D11,Theft Under $5000,2014,62,200,0,138
D12,Auto Theft,2014,1,7,0,6
D12,Assault,2014,7,14,0,7
D11,Break & Enter-Other,2014,1,1,1,0
D11,Other,2014,39,43,0,4
D11,Other,2014,6,6,1,0
D12,Auto Theft,2014,12,55,0,43
D12,Assault,2014,20,24,0,4
D11,Break & Enter-Other,2014,0,1,0,1
D11,Other,2014,42,46,0,4
D12,Fraud,2014,0,5,0,5
D11,Robbery-Other,2014,2,24,0,22
D11,Theft Under $5000,2014,9,39,0,30
D11,Other,2014,4,4,1,0
D12,Auto Theft,2014,2,7,0,5
D12,Assault,2014,79,112,0,33
D11,Break & Enter-Other,2014,1,1,1,0
D11,Other,2014,55,57,0,2
D12,Fraud,2014,4,14,0,10
D11,Robbery-Other,2014,5,8,0,3
D11,Theft Under $5000,2014,27,55,0,28
D11,Other,2014,29,30,0,1
D12,Break & Enter-Apartment,2014,3,8,0,5
D12,Assault,2014,31,41,0,10
D11,Break & Enter-Other,2014,1,3,0,2
D11,Other,2014,96,102,0,6
D12,Fraud,2014,8,26,0,18
D11,Robbery-Other,2014,5,20,0,15
D11,Theft Under $5000,2014,3,9,0,6
D11,Other,2014,7,7,1,0
D12,Break & Enter-Apartment,2014,4,5,0,1
D12,Assault,2014,112,153,0,41
D11,Break & Enter-Other,2014,0,5,0,5
D11,Other,2014,17,18,0,1
D12,Fraud,2014,2,11,0,9
D11,Robbery-Other,2014,0,1,0,1
D11,Theft Under $5000,2014,88,106,0,18
D11,Other,2014,7,8,0,1
D12,Break & Enter-Apartment,2014,0,1,0,1
D12,Assault,2014,22,30,0,8
D12,Fraud,2014,13,45,0,32
D11,Break & Enter-Other,2014,1,2,0,1
D12,Fraud,2014,1,3,0,2
D11,Theft Under $5000,2014,73,186,0,113
D11,Break & Enter-Other,2014,1,3,0,2
D12,Other,2014,11,34,0,23
D11,Other,2014,15,15,1,0
D12,Break & Enter-Apartment,2014,6,9,0,3
D11,Robbery-Other,2014,6,8,0,2
D12,Attempt Murder,2014,0,1,0,1
D11,Other,2014,7,11,0,4
D11,Auto Theft,2014,5,7,0,2
D12,Break & Enter-Apartment,2014,1,2,0,1
D11,Robbery-Other,2014,0,4,0,4
D11,Theft Under $5000,2014,69,144,0,75
D12,Other,2014,28,71,0,43
D11,Fraud,2014,1,1,1,0
D11,Other,2014,2,3,0,1
D12,Attempt Murder,2014,4,4,1,0
